example_id,example_name,category,prompt,layer,readout,position,source_token,top1_token,rank
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,0,Fact, Fact,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,1,:,colon,61
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,2, The,e,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,3, color, color,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,4, of,a,2
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,5, the, east,2
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,6, precious, precious,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,7, metal, metal,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,8, with,er,1
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,9, atomic, atomic,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,10, number, number,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,11, ,rides,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,12,7,s,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,13,9,9,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,0,jacobian_lens,14, is, being,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,0,Fact, Fact,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,1,:,flu,29
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,2, The, Crown,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,3, color, color,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,4, of,a,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,5, the, south,1
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,6, precious, precious,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,7, metal, metal,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,8, with,er,1
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,9, atomic, atomic,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,10, number, number,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,11, , sea,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,12,7,ed,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,13,9,9,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,1,jacobian_lens,14, is, being,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,0,Fact, Fact,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,1,:,黄花,10
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,2, The, Forest,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,3, color, color,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,4, of,a,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,5, the, color,1
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,6, precious, precious,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,7, metal, metal,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,8, with,er,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,9, atomic, atomic,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,10, number, number,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,11, ,3,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,12,7,s,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,13,9,9,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,2,jacobian_lens,14, is, being,2
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,0,Fact, Fact,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,1,:, NYT,24
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,2, The, Forest,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,3, color, color,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,4, of, silver,2
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,5, the, flowers,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,6, precious, precious,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,7, metal, metal,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,8, with,er,9
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,9, atomic, atomic,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,10, number, number,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,11, , sea,1
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,12,7,s,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,13,9,9,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,3,jacobian_lens,14, is, being,1
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,0,Fact, Fact,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,1,:, NYT,17
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,2, The, Crown,3
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,3, color, color,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,4, of, color,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,5, the, colors,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,6, precious, precious,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,7, metal, metal,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,8, with,er,2
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,9, atomic, atomic,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,10, number, atomic,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,11, ,2,1
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,12,7,s,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,13,9,9,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,4,jacobian_lens,14, is, being,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,0,Fact, Fact,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,1,:, Fact,9
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,2, The, Crown,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,3, color, color,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,4, of, color,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,5, the, colors,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,6, precious, precious,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,7, metal, metal,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,8, with,er,2
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,9, atomic, atomic,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,10, number, atomic,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,11, , sea,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,12,7,s,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,13,9,9,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,5,jacobian_lens,14, is, mercury,0
example_004,element-color-gold2,element-color,Fact: The color of the precious metal with atomic number 79 is,6,jacobian_lens,0,Fact, itself,0
